Humid,Temp,Time
34,36.6,20:57
35,36.4,21:02
35,36.3,21:07
35,36.1,21:12
34,36,21:17
34,35.8,21:22
34,35.6,21:35
34,35.4,21:40
35,35.3,21:45
35,35.1,21:50
36,35.1,21:56
36,35,22:01
36,34.9,22:06
36,34.8,22:11
37,34.7,22:16
38,34.7,22:21
38,34.6,22:26
38,34.5,22:31
38,34.5,22:36
37,34.3,22:41
37,34.3,22:46
38,34.2,22:51
38,34.1,22:58
38,34,23:04
38,33.9,23:09
39,33.8,23:14
39,33.8,23:19
40,33.7,23:24
40,33.7,23:29
40,33.7,23:34
40,33.6,23:39
40,33.6,23:44
40,33.6,23:49
40,33.5,23:54
41,33.4,23:59
41,33.4,24:04:00
41,33.3,24:09:00
40,33.3,24:14:00
40,33.3,24:19:00
40,33.3,24:24:00
41,33.3,24:32:00
41,33.3,24:42:00
41,33.3,24:47:00
41,33.3,24:52:00
41,33.3,24:57:00
40,33.3,25:02:00
40,33.2,25:07:00
40,33.1,25:12:00
41,33.1,25:17:00
41,33.1,25:22:00
41,33.1,25:27:00
41,33,26:13:00
42,33,26:18:00
42,33,26:24:00
40,33,26:29:00
40,32.9,26:35:00
40,32.9,26:40:00
40,32.9,26:46:00
41,32.9,26:51:00
42,32.9,26:56:00
41,33,27:01:00
41,32.9,27:06:00
41,33,27:11:00
42,33,27:16:00
42,33,27:21:00
42,33,27:26:00
42,33.1,27:31:00
41,33.1,27:36:00
41,33.1,27:41:00
41,33.1,27:46:00
41,33.1,27:51:00
41,33.2,27:56:00
41,33.2,28:01:00
41,33.2,28:06:00
46,33.2,28:11:00
45,32.1,30:48:00
44,32.2,30:53:00
44,32.2,30:59:00
44,32.3,31:04:00
45,32.3,31:09:00
45,32.2,31:14:00
45,32.3,31:19:00
45,32.1,31:25:00
45,32.1,31:30:00
45,32.1,31:35:00
45,32,31:40:00
45,31.9,31:46:00
45,31.9,31:51:00
45,31.8,31:56:00
46,31.8,32:02:00
46,31.8,32:07:00
52,31.9,32:12:00
52,30.7,32:17:00
52,30.5,32:22:00
51,30.6,32:27:00
53,30.6,32:32:00
48,30.6,32:37:00
49,30.3,32:42:00
49,30.5,32:47:00
49,30.3,32:52:00
48,30.3,32:57:00
49,30.3,33:02:00
49,30.3,33:08:00
49,30.2,33:13:00
49,30.2,33:18:00
49,30.1,33:22:00
49,30.1,33:28:00
50,30.1,33:33:00
51,30.1,33:39:00
50,30.1,33:44:00
52,30.1,33:49:00
49,30,33:54:00
49,30,33:59:00
49,29.9,34:04:00
50,29.9,34:09:00
50,30,34:14:00
50,29.9,34:19:00
49,30,34:24:00
50,29.9,34:29:00
50,30,34:34:00
49,30,34:40:00
49,30,34:45:00
49,30.1,34:50:00
49,30.1,34:55:00
49,30.1,35:00:00
49,30.1,35:04:00
48,30.1,35:09:00
49,30.1,35:15:00
48,30.1,35:20:00
48,30.2,35:24:00
48,30.2,35:29:00
48,30.2,35:35:00
48,30.2,35:40:00
48,30.1,35:44:00
48,30.2,35:50:00
48,30.2,35:55:00
49,30.2,36:00:00
48,30.2,36:04:00
48,30.2,36:09:00
48,30.3,36:45:00
48,30.3,36:50:00
48,30.3,36:55:00
48,30.3,37:00:00
50,30.3,37:05:00
50,30.5,37:10:00
49,30.5,37:15:00
49,30.5,37:20:00
49,30.4,37:25:00
49,30.3,37:30:00
50,30.3,37:35:00
50,30.3,37:40:00
49,30.3,37:45:00
49,30.3,37:50:00
50,30.3,37:55:00
50,30.3,38:00:00
50,30.5,38:05:00
50,30.3,38:41:00
49,30.3,38:46:00
50,30.3,38:51:00
51,30.3,38:56:00
51,30.3,39:01:00
51,30.3,39:07:00
51,30.3,39:12:00
50,30.3,39:17:00
50,30.2,39:22:00
50,30.1,39:27:00
51,30.1,39:32:00
51,30.3,39:37:00
50,30.3,39:42:00
51,30.2,39:47:00
51,30.2,39:52:00
52,30.1,39:57:00
52,30.1,40:02:00
53,30.1,40:07:00
53,30.1,40:12:00
52,30.1,40:17:00
53,30.1,40:23:00
52,30.1,40:28:00
50,30.1,40:33:00
51,30.4,40:38:00
50,30.3,40:43:00
49,30.3,40:48:00
49,30.3,40:54:00
50,30.3,40:59:00
50,30.3,41:04:00
49,30.3,41:09:00
49,30.3,41:14:00
49,30.3,41:19:00
50,30.3,41:24:00
50,30.3,41:29:00
50,30.3,41:35:00
50,30.3,41:41:00
50,30.3,41:46:00
50,30.3,41:51:00
50,30.3,41:56:00
50,30.3,42:01:00
51,30.3,42:06:00
50,30.3,42:19:00
50,30.4,42:24:00
50,30.4,42:30:00
50,30.4,42:35:00
49,30.3,42:46:00
49,30.3,42:51:00
50,30.4,43:31:00
49,30.4,43:36:00
49,30.4,43:41:00
49,30.4,43:46:00
50,30.3,43:51:00
50,30.4,43:56:00
50,30.4,44:01:00
50,30.4,44:06:00
49,30.4,44:11:00
49,30.4,44:16:00
48,30.4,44:20:00
48,30.4,44:26:00
48,30.4,44:32:00
49,30.4,44:37:00
48,30.4,44:43:00
49,30.4,44:48:00
48,30.5,44:53:00
49,30.4,44:58:00
49,30.4,45:03:00
49,30.4,45:09:00
48,30.4,45:16:00
48,30.4,45:21:00
48,30.4,45:26:00
49,30.4,45:31:00
48,30.4,45:37:00
47,30.4,45:42:00
47,30.3,45:47:00
49,30.3,45:52:00
50,30.3,45:57:00
49,30.3,46:02:00
49,30.3,46:07:00
